Program,Workload,Count,CPU%,Mem(KB),IO(%util),Time_real(s)
program_a,cpu,2,55.0,1280,0.48,1.21
program_a,mem,2,107.6,104720,3.20,119.82
program_a,io,2,3.5,4081,10.00,151.23
program_a,cpu,3,73.3,1963,0.80,1.72
program_a,mem,3,108.2,156551,4.80,161.13
program_a,io,3,4.0,5230,7.20,164.51
program_a,cpu,4,106.7,3328,1.60,1.78
program_a,mem,4,106.7,207936,9.60,330.02
program_a,io,4,4.6,6382,10.80,209.60
program_a,cpu,5,107.5,3712,0.44,6.12
program_a,mem,5,107.2,259470,30.33,408.22
program_a,io,5,4.9,7535,441.60,315.69
program_b,cpu,2,115.0,2048,0.51,1.11
program_b,mem,2,107.2,103918,79.27,201.54
program_b,io,2,3.4,2299,5.20,231.40
program_b,cpu,3,82.5,1536,0.52,5.54
program_b,mem,3,107.0,154958,4.00,244.33
program_b,io,3,4.5,2555,47.27,296.20
program_b,cpu,4,110.0,2048,0.61,1.99
program_b,mem,4,106.4,206182,24.40,270.65
program_b,io,4,6.6,2809,4.40,230.91
program_b,cpu,5,88.0,1638,0.59,2.42
program_b,mem,5,108.1,257480,2.80,321.98
program_b,io,5,8.7,3063,9.07,195.99
program_b,cpu,6,88.0,1638,0.57,2.40
program_b,mem,6,108.3,308358,1.20,440.63
program_b,io,6,10.7,3320,3.30,195.69
program_b,cpu,7,91.4,1755,0.80,3.41
program_b,mem,7,108.4,359360,1.60,394.29
program_b,io,7,12.3,3580,3.60,173.46
program_b,cpu,8,91.4,1755,0.52,3.25
program_b,mem,8,108.5,410496,471.20,434.34
program_b,io,8,11.4,3966,3.20,252.23
